customer_id,age,gender,city,occupation,annual_income_inr,credit_score,num_credit_cards,debt_to_income,avg_monthly_spend_inr,late_payments_12m,has_loan,loan_amount_inr,loan_term_months,existing_customer_years,products_owned,defaulted,churned,customer_segment
1,22,Female,Pune,Retired,1011500,753,2,0.33,30320,2,1,1111100,13,2.5,2,0,0,Silver
2,58,Male,Kolkata,Unemployed,415400,687,1,0.25,30390,1,0,0,0,1.9,3,0,0,Standard
3,52,Female,Bengaluru,Manager,738000,677,2,0.49,36730,1,0,0,0,6.7,2,0,0,Silver
4,40,Male,Mumbai,Self-Employed,644800,605,1,0.34,43370,0,0,0,0,3.5,1,0,0,Standard
5,40,Female,Mumbai,Retired,505600,645,1,0.27,39650,0,0,0,0,6.3,0,0,0,Standard
6,62,Male,Hyderabad,Manager,914200,613,1,0.25,59300,3,1,752000,153,6.2,3,0,0,Standard
7,22,Female,Jaipur,Junior Professional,120000,760,2,0.57,72560,0,1,1011000,68,0.4,3,1,0,Standard
8,54,Male,Chennai,Self-Employed,773800,800,0,0.2,35310,1,1,410100,182,0.8,5,0,0,Silver
9,28,Male,Lucknow,Retired,863900,835,2,0.46,25160,1,1,1193700,117,5.6,3,0,0,Silver
10,22,Female,Jaipur,Self-Employed,356300,612,4,0.22,31010,0,0,0,0,0.1,1,0,1,Standard
11,45,Male,Jaipur,Student,1505300,627,1,0.25,30390,0,1,50000,192,1.8,3,0,0,Standard
12,68,Male,Lucknow,Retired,662200,620,2,0.31,23170,2,1,1286300,54,7.7,2,0,0,Standard
13,56,Female,Bengaluru,Self-Employed,805000,599,3,0.38,5020,2,0,0,0,3.7,4,0,0,Standard
14,57,Male,Lucknow,Senior Professional,663100,600,1,0.12,8050,1,0,0,0,0.0,4,0,0,Standard
15,55,Female,Lucknow,Retired,867400,639,3,0.25,48680,1,0,0,0,0.0,6,0,0,Standard
16,58,Female,Ahmedabad,Self-Employed,1423300,750,1,0.44,50000,0,0,0,0,8.1,2,0,0,Gold
